chapter	article_fact	target_file	component_count	proof_status	clean_exact_roots	all_selected_roots	article_imports_closure	helper_bucket_closure	dependency_fact_count
6	pss_paper.p_6_2_mono_prefix	6/P_6_2_mono_prefix.thy	1	exact-clean-proof	pss_mechanized.m_6_2_mono_prefix	pss_mechanized.m_6_2_mono_prefix	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_2_mono_ancestor_slice.thy	PSS/cross-chapter:5	12
6	pss_paper.p_6_2_multi_crit_12	6/P_6_2_multi_crit_12.thy	1	exact-clean-proof	pss_mechanized.m_6_2_multi_crit_12	pss_mechanized.m_6_2_multi_crit_12	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_2_multi_crit_23.thy	PSS/cross-chapter:4	10
6	pss_paper.p_6_2_multi_crit_23	6/P_6_2_multi_crit_23.thy	1	exact-clean-proof	pss_mechanized.m_6_2_multi_crit_23	pss_mechanized.m_6_2_multi_crit_23	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy	PSS/cross-chapter:4	8
6	pss_paper.p_6_2_nonmulti_oper_1	6/P_6_2_nonmulti_oper_1.thy	1	exact-clean-proof	pss_mechanized.m_6_2_nonmulti_oper_1	pss_mechanized.m_6_2_nonmulti_oper_1	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_2_P_additive.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_2_multi_crit_12.thy;6/P_6_2_multi_crit_23.thy	PSS/cross-chapter:21	30
6	pss_paper.p_6_2_nonmulti_oper_2	6/P_6_2_nonmulti_oper_2.thy	1	exact-clean-proof	pss_mechanized.m_6_2_nonmulti_oper_2	pss_mechanized.m_6_2_nonmulti_oper_2	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_2_multi_crit_12.thy;6/P_6_2_multi_crit_23.thy	PSS/cross-chapter:10	17
6	pss_paper.p_6_3_adm_slice	6/P_6_3_adm_slice.thy	1	exact-clean-proof	pss_mechanized.m_6_3_adm_slice	pss_mechanized.m_6_3_adm_slice		PSS/cross-chapter:9	10
6	pss_paper.p_6_3_admof_slice	6/P_6_3_admof_slice.thy	1	exact-clean-proof	pss_mechanized.m_6_3_admof_slice	pss_mechanized.m_6_3_admof_slice	6/P_6_3_adm_slice.thy	PSS/cross-chapter:15	17
6	pss_paper.p_6_3_marked_slice	6/P_6_3_marked_slice.thy	1	exact-clean-proof	pss_mechanized.m_6_3_marked_slice	pss_mechanized.m_6_3_marked_slice	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_3_adm_slice.thy	PSS/cross-chapter:11	17
6	pss_paper.p_6_4_FirstNodes_Joints_mono	6/P_6_4_FirstNodes_Joints_mono.thy	1	exact-clean-proof	pss_mechanized.m_6_4_FirstNodes_Joints_mono;pss_mechanized.m_6_4_FirstNodes_Joints_mono_aux	pss_mechanized.m_6_4_FirstNodes_Joints_mono;pss_mechanized.m_6_4_FirstNodes_Joints_mono_aux	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_P_leftend_mono.thy;6/P_6_4_mono_slice_next.thy	PSS/cross-chapter:27	40
6	pss_paper.p_6_4_FirstNodes_TrMax_Joints	6/P_6_4_FirstNodes_TrMax_Joints.thy	1	exact-clean-proof	pss_mechanized.m_6_4_FirstNodes_TrMax_Joints	pss_mechanized.m_6_4_FirstNodes_TrMax_Joints	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;6/P_6_4_mono_slice_next.thy	PSS/cross-chapter:14	19
6	pss_paper.p_6_4_P_IdxSum	6/P_6_4_P_IdxSum.thy	1	exact-clean-proof	pss_mechanized.m_6_4_P_IdxSum	pss_mechanized.m_6_4_P_IdxSum	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy	PSS/cross-chapter:16	22
6	pss_paper.p_6_4_P_IdxSum_char_1	6/P_6_4_P_IdxSum_char_1.thy	1	exact-clean-proof	pss_mechanized.m_6_4_P_IdxSum_char_1	pss_mechanized.m_6_4_P_IdxSum_char_1	5/P_5_1_parent_exists_1.thy	PSS/cross-chapter:10	13
6	pss_paper.p_6_4_P_IdxSum_char_2	6/P_6_4_P_IdxSum_char_2.thy	1	exact-clean-proof	pss_mechanized.m_6_4_P_IdxSum_char_2	pss_mechanized.m_6_4_P_IdxSum_char_2	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy	PSS/cross-chapter:11	17
6	pss_paper.p_6_4_P_leftend_mono	6/P_6_4_P_leftend_mono.thy	1	exact-clean-proof	pss_mechanized.m_6_4_P_leftend_mono	pss_mechanized.m_6_4_P_leftend_mono	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_P_IdxSum.thy	PSS/cross-chapter:20	28
6	pss_paper.p_6_4_mono_slice	6/P_6_4_mono_slice.thy	1	exact-clean-proof	pss_mechanized.m_6_4_mono_slice	pss_mechanized.m_6_4_mono_slice	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_FirstNodes_Joints_mono.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_P_leftend_mono.thy;6/P_6_4_mono_slice_next.thy	PSS/cross-chapter:40	53
6	pss_paper.p_6_4_mono_slice_next	6/P_6_4_mono_slice_next.thy	1	exact-clean-proof	pss_mechanized.m_6_4_mono_slice_next	pss_mechanized.m_6_4_mono_slice_next	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy	PSS/cross-chapter:13	17
6	pss_paper.p_6_5_Lng_Red	6/P_6_5_Lng_Red.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Lng_Red	pss_mechanized.m_6_5_Lng_Red	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Red_welldef.thy	PSS/cross-chapter:81	93
6	pss_paper.p_6_5_P_Red	6/P_6_5_P_Red.thy	1	exact-clean-proof	pss_mechanized.m_6_5_P_Red_final	pss_mechanized.m_6_5_P_Red_final	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_monoT.thy;6/P_6_5_Red_welldef.thy;6/P_6_5_Red_zeroT.thy;6/P_6_5_monoT_Red.thy;6/P_6_6_Red_leftend_1.thy	PSS/cross-chapter:114	139
6	pss_paper.p_6_5_Red_IncrFirst	6/P_6_5_Red_IncrFirst.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_IncrFirst	pss_mechanized.m_6_5_Red_IncrFirst	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_IncrFirst.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_welldef.thy;6/P_6_5_monoT_Red.thy;6/P_6_6_Red_leftend_1.thy	PSS/cross-chapter:164	185
6	pss_paper.p_6_5_Red_Pred	6/P_6_5_Red_Pred.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_Pred	pss_mechanized.m_6_5_Red_Pred	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_additive.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_2_mono_prefix.thy;6/P_6_2_multi_crit_12.thy;6/P_6_2_multi_crit_23.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_welldef.thy;6/P_6_5_monoT_Red.thy;6/P_6_6_Red_leftend_1.thy	PSS/cross-chapter:153	179
6	pss_paper.p_6_5_Red_adm	6/P_6_5_Red_adm.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_adm_final	pss_mechanized.m_6_5_Red_adm_final	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_IncrFirst.thy;6/P_6_2_P_additive.thy;6/P_6_2_P_components_1.thy;6/P_6_2_P_components_2.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_2_mono_prefix.thy;6/P_6_2_multi_crit_12.thy;6/P_6_2_multi_crit_23.thy;6/P_6_4_FirstNodes_Joints_mono.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_P_leftend_mono.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_IncrFirst.thy;6/P_6_5_Red_Pred.thy;6/P_6_5_Red_welldef.thy;6/P_6_5_monoT_Red.thy;6/P_6_6_P_reduced.thy;6/P_6_6_Red_leftend_1.thy;6/P_6_6_reduced_leftend.thy;6/P_6_6_reduced_slice.thy	PSS/cross-chapter:553	604
6	pss_paper.p_6_5_Red_idem	6/P_6_5_Red_idem.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_idem	pss_mechanized.m_6_5_Red_idem	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_IncrFirst.thy;6/P_6_2_P_additive.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_FirstNodes_Joints_mono.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_P_leftend_mono.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_IncrFirst.thy;6/P_6_5_Red_welldef.thy;6/P_6_5_monoT_Red.thy;6/P_6_6_Red_leftend_1.thy	PSS/cross-chapter:282;chapter-6/local:1	310
6	pss_paper.p_6_5_Red_le	6/P_6_5_Red_le.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_le_final	pss_mechanized.m_6_5_Red_le_final	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_IncrFirst.thy;6/P_6_2_P_additive.thy;6/P_6_2_P_components_1.thy;6/P_6_2_P_components_2.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_2_mono_prefix.thy;6/P_6_2_multi_crit_12.thy;6/P_6_2_multi_crit_23.thy;6/P_6_4_FirstNodes_Joints_mono.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_P_leftend_mono.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_IncrFirst.thy;6/P_6_5_Red_Pred.thy;6/P_6_5_Red_welldef.thy;6/P_6_5_monoT_Red.thy;6/P_6_6_P_reduced.thy;6/P_6_6_Red_leftend_1.thy;6/P_6_6_reduced_leftend.thy;6/P_6_6_reduced_slice.thy	PSS/cross-chapter:555	607
6	pss_paper.p_6_5_Red_marked	6/P_6_5_Red_marked.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_marked_final	pss_mechanized.m_6_5_Red_marked_final	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_IncrFirst.thy;6/P_6_2_P_additive.thy;6/P_6_2_P_components_1.thy;6/P_6_2_P_components_2.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_2_mono_prefix.thy;6/P_6_2_multi_crit_12.thy;6/P_6_2_multi_crit_23.thy;6/P_6_4_FirstNodes_Joints_mono.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_P_leftend_mono.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_IncrFirst.thy;6/P_6_5_Red_Pred.thy;6/P_6_5_Red_le.thy;6/P_6_5_Red_welldef.thy;6/P_6_5_monoT_Red.thy;6/P_6_6_P_reduced.thy;6/P_6_6_Red_leftend_1.thy;6/P_6_6_reduced_leftend.thy;6/P_6_6_reduced_slice.thy	PSS/cross-chapter:555	610
6	pss_paper.p_6_5_Red_monoT	6/P_6_5_Red_monoT.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_monoT_final	pss_mechanized.m_6_5_Red_monoT_final	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_welldef.thy;6/P_6_5_Red_zeroT.thy;6/P_6_5_monoT_Red.thy;6/P_6_6_Red_leftend_1.thy	PSS/cross-chapter:114	137
6	pss_paper.p_6_5_Red_oper	6/P_6_5_Red_oper.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_oper_final	pss_mechanized.m_6_5_Red_oper_final	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_ancestor_tree_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_2.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_IncrFirst.thy;6/P_6_2_P_additive.thy;6/P_6_2_P_components_1.thy;6/P_6_2_P_components_2.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_2_mono_prefix.thy;6/P_6_2_multi_crit_12.thy;6/P_6_2_multi_crit_23.thy;6/P_6_4_FirstNodes_Joints_mono.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_P_leftend_mono.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_IncrFirst.thy;6/P_6_5_Red_Pred.thy;6/P_6_5_Red_idem.thy;6/P_6_5_Red_welldef.thy;6/P_6_5_monoT_Red.thy;6/P_6_6_P_reduced.thy;6/P_6_6_Red_leftend_1.thy;6/P_6_6_condAB_coeff.thy;6/P_6_6_reduced_iff_cond.thy;6/P_6_6_reduced_leftend.thy;6/P_6_6_reduced_oper.thy;6/P_6_6_reduced_slice.thy	PSS/cross-chapter:630;chapter-6/local:5	694
6	pss_paper.p_6_5_Red_welldef	6/P_6_5_Red_welldef.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_welldef	pss_mechanized.m_6_5_Red_welldef	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_mono_slice_next.thy	PSS/cross-chapter:81	92
6	pss_paper.p_6_5_Red_zeroT	6/P_6_5_Red_zeroT.thy	1	exact-clean-proof	pss_mechanized.m_6_5_Red_zeroT	pss_mechanized.m_6_5_Red_zeroT	5/P_5_1_ancestor_basic_1.thy;5/P_5_1_parent_exists_1.thy;5/P_5_1_parent_exists_3.thy;6/P_6_1_le_IncrFirst_inv.thy;6/P_6_2_P_components_1.thy;6/P_6_2_mono_ancestor_slice.thy;6/P_6_4_FirstNodes_TrMax_Joints.thy;6/P_6_4_P_IdxSum.thy;6/P_6_4_mono_slice_next.thy;6/P_6_5_Lng_Red.thy;6/P_6_5_Red_welldef.thy	PSS/cross-chapter:82	95
