fact	theory	serial	serial_max	component_count	source_file	source_line	concealed	has_skip_proof	depends_on_article_sorry
pss_paper.p_6_6_Red_leftend_2	pss_paper	466040	466040	1	isabelle/pss_paper.thy	498	false	true	true
pss_paper.p_6_6_reduced_coeff	pss_paper	466048	466048	1	isabelle/pss_paper.thy	506	false	true	true
pss_paper.p_6_6_reduced_leftend	pss_paper	466056	466056	1	isabelle/pss_paper.thy	514	false	true	true
pss_paper.p_6_6_condAB_coeff	pss_paper	466064	466064	1	isabelle/pss_paper.thy	522	false	true	true
pss_paper.p_6_6_ancestor_slice_Red_IncrFirst	pss_paper	466072	466072	1	isabelle/pss_paper.thy	535	false	true	true
pss_paper.p_6_6_oneColumn	pss_paper	466080	466080	1	isabelle/pss_paper.thy	545	false	true	true
pss_paper.p_6_7_standard_reduced	pss_paper	466088	466088	1	isabelle/pss_paper.thy	555	false	true	true
pss_paper.p_6_7_ST_eq_Union_SkT	pss_paper	466094	466094	1	isabelle/pss_paper.thy	561	false	true	true
pss_paper.p_6_7_standard_P_components	pss_paper	466104	466104	1	isabelle/pss_paper.thy	567	false	true	true
pss_paper.p_6_7_standard_prefix	pss_paper	466112	466112	1	isabelle/pss_paper.thy	574	false	true	true
pss_paper.p_6_8_standard_slice_Br_descending	pss_paper	466120	466120	1	isabelle/pss_paper.thy	584	false	true	true
pss_paper.p_6_8_standard_P_descending	pss_paper	466128	466128	1	isabelle/pss_paper.thy	591	false	true	true
pss_paper.p_7_1_lessBT_linord	pss_paper	467642	467646	3	isabelle/pss_paper.thy	642	false	true	true
pss_paper.p_7_1_term_components	pss_paper	468840	468840	1	isabelle/pss_paper.thy	802	false	true	true
pss_paper.buc1_2_2_OT_B_wf	pss_paper	468848	468848	1	isabelle/pss_paper.thy	817	false	true	false
pss_paper.buc1_3_2a_fseq_lt	pss_paper	468856	468856	1	isabelle/pss_paper.thy	822	false	true	false
pss_paper.buc1_3_2_OT_B_closed	pss_paper	468862	468862	1	isabelle/pss_paper.thy	828	false	true	false
pss_paper.p_7_1_paren_balance	pss_paper	470154	470154	1	isabelle/pss_paper.thy	861	false	true	true
