article_fact	clean_equivalent_fact
pss_paper.p_7_1_lessBT_linord(3)	pss_mechanized.lessBT_total
pss_paper.p_7_1_lessBT_linord(3)	pss_mechanized.m_7_1_lessBT_linord(3)
pss_paper.p_7_1_term_components	pss_mechanized.m_7_1_term_components
pss_paper.p_7_1_paren_balance	pss_mechanized.m_7_1_paren_balance
pss_paper.p_7_2_scb_triviality(1)	pss_mechanized.m_7_2_scb_triviality(1)
pss_paper.p_7_2_scb_triviality(2)	pss_mechanized.m_7_2_scb_triviality(2)
pss_paper.p_7_2_scb_unique(1)	pss_mechanized.m_7_2_scb_unique_decomp
pss_paper.p_7_2_add_scb(1)	pss_mechanized.m_7_2_add_scb_conj1
pss_paper.p_7_2_add_scb(2)	pss_mechanized.m_7_2_add_scb_conj2
pss_paper.p_7_3_twoColumn(1)	pss_wip.m_7_3_twoColumn_Trans
pss_paper.p_7_3_twoColumn(2)	pss_wip.m_7_3_twoColumn_Marked(1)
pss_paper.p_7_3_twoColumn(3)	pss_wip.m_7_3_twoColumn_Marked(2)
pss_paper.p_7_3_twoColumn(4)	pss_wip.m_7_3_twoColumn_Mark(1)
pss_paper.p_7_3_twoColumn(5)	pss_wip.m_7_3_twoColumn_Mark(2)
pss_paper.p_7_3_Trans_zeroT	pss_scratch.y3r_7_3_Trans_zeroT_TPS
pss_paper.p_7_3_c1_c2(1)	pss_wip.transC1_single_principal
pss_paper.p_7_3_c1_c2(3)	pss_wip.transC1_lessBT_transC2_full
pss_paper.p_7_3_Pred_Trans_descend	pss_scratch.y3r_7_3_Pred_Trans_descend_TPS
pss_paper.p_7_3_Trans_monoT	pss_wip.m_7_3_Trans_monoT
pss_paper.p_7_4_Adm_nextAdm	pss_mechanized.m_7_4_Adm_nextAdm
pss_paper.p_7_4_Mark_Trans_repr	pss_wip.m_7_4_Mark_Trans_repr
pss_paper.p_7_4_Trans_Mark_seg	pss_wip.m_7_4_Trans_Mark_seg
pss_paper.p_7_4_RightNodes_Mark	pss_wip.m_7_4_RightNodes_Mark
