fact	theory	source_file	source_line	has_skip_proof	depends_on_article_sorry	consumer_chapters	dependency_chapters	consumer_article_count	bucket	availability_stage
pss_mechanized.P_add_drop_eq_map_nth	pss_mechanized	isabelle/pss_mechanized.thy	907	false	false	6,7,8		55	PSS/cross-chapter	PSS/pre-5
pss_mechanized.P_add_seg_0_eq_take	pss_mechanized	isabelle/pss_mechanized.thy	911	false	false	6,7,8		55	PSS/cross-chapter	PSS/pre-5
pss_mechanized.P_add_seg_to_last_eq_drop	pss_mechanized	isabelle/pss_mechanized.thy	917	false	false	6,7,8		55	PSS/cross-chapter	PSS/pre-5
pss_mechanized.P_add_Pcut_props	pss_mechanized	isabelle/pss_mechanized.thy	932	false	false	6,7,8		74	PSS/cross-chapter	PSS/pre-5
pss_mechanized.P_add_Pcut_left_min	pss_mechanized	isabelle/pss_mechanized.thy	949	false	false	6,7,8	5,6	74	PSS/cross-chapter	PSS/after-6
pss_mechanized.P_add_drop_ancestor	pss_mechanized	isabelle/pss_mechanized.thy	994	true	false	6,7,8	5,6	55	PSS/cross-chapter	PSS/after-6
pss_mechanized.Pcut_le	pss_mechanized	isabelle/pss_mechanized.thy	1163	false	false	6,7,8		76	PSS/cross-chapter	PSS/pre-5
pss_mechanized.drop_eq_seg	pss_mechanized	isabelle/pss_mechanized.thy	1177	false	false	6,7,8		72	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_nextrel0_seg	pss_mechanized	isabelle/pss_mechanized.thy	1280	false	false	6,7,8		62	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_le0_seg_M_to_N	pss_mechanized	isabelle/pss_mechanized.thy	1333	false	false	6,7,8		62	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_le0_seg_N_to_M	pss_mechanized	isabelle/pss_mechanized.thy	1357	false	false	6,7,8		62	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_le0_seg	pss_mechanized	isabelle/pss_mechanized.thy	1379	false	false	6,7,8		62	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_nextrel1_seg	pss_mechanized	isabelle/pss_mechanized.thy	1411	false	false	6,7,8		54	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_nextR1_seg	pss_mechanized	isabelle/pss_mechanized.thy	1485	false	false	6,7,8		52	PSS/cross-chapter	PSS/pre-5
pss_mechanized.adm_zero	pss_mechanized	isabelle/pss_mechanized.thy	1560	true	false	6,7,8		32	PSS/cross-chapter	PSS/pre-5
