rank	fact	serial	theory	source_file	source_line
68	pss_paper.p_6_8_standard_P_descending	466128	pss_paper	isabelle/pss_paper.thy	591
69	pss_paper.p_7_1_lessBT_linord	467642	pss_paper	isabelle/pss_paper.thy	642
70	pss_paper.p_7_1_term_components	468840	pss_paper	isabelle/pss_paper.thy	802
71	pss_paper.buc1_2_2_OT_B_wf	468848	pss_paper	isabelle/pss_paper.thy	817
72	pss_paper.buc1_3_2a_fseq_lt	468856	pss_paper	isabelle/pss_paper.thy	822
73	pss_paper.buc1_3_2_OT_B_closed	468862	pss_paper	isabelle/pss_paper.thy	828
74	pss_paper.p_7_1_paren_balance	470154	pss_paper	isabelle/pss_paper.thy	861
75	pss_paper.p_7_2_scb_replaceable	470288	pss_paper	isabelle/pss_paper.thy	933
76	pss_paper.p_7_2_scb_compose	470296	pss_paper	isabelle/pss_paper.thy	949
77	pss_paper.p_7_2_scb_triviality	470306	pss_paper	isabelle/pss_paper.thy	965
78	pss_paper.p_7_2_scb_unique	470316	pss_paper	isabelle/pss_paper.thy	989
79	pss_paper.p_7_2_add_scb	470332	pss_paper	isabelle/pss_paper.thy	1012
80	pss_paper.p_7_2_scb_fseq	470344	pss_paper	isabelle/pss_paper.thy	1038
81	pss_paper.p_7_2_RightNodes_subexpr	470356	pss_paper	isabelle/pss_paper.thy	1071
82	pss_paper.p_7_3_twoColumn	476000	pss_paper	isabelle/pss_paper.thy	1263
83	pss_paper.p_7_3_Trans_IncrFirst_Red	476014	pss_paper	isabelle/pss_paper.thy	1273
84	pss_paper.p_7_3_Mark_IncrFirst_Red	476026	pss_paper	isabelle/pss_paper.thy	1280
85	pss_paper.p_7_3_Trans_zeroT	476036	pss_paper	isabelle/pss_paper.thy	1287
86	pss_paper.p_7_3_c1_c2	476044	pss_paper	isabelle/pss_paper.thy	1298
87	pss_paper.p_7_3_Pred_Trans_descend	476056	pss_paper	isabelle/pss_paper.thy	1306
88	pss_paper.p_7_3_Mark_rightmost1	476064	pss_paper	isabelle/pss_paper.thy	1313
89	pss_paper.p_7_3_Trans_monoT	476072	pss_paper	isabelle/pss_paper.thy	1330
90	pss_paper.p_7_4_Adm_nextAdm	476080	pss_paper	isabelle/pss_paper.thy	1343
91	pss_paper.p_7_4_Trans_nextAdm	476088	pss_paper	isabelle/pss_paper.thy	1356
92	pss_paper.p_7_4_Mark_nextAdm	476096	pss_paper	isabelle/pss_paper.thy	1371
93	pss_paper.p_7_4_Trans_Mark_Pred	476104	pss_paper	isabelle/pss_paper.thy	1387
94	pss_paper.p_7_4_Mark_Trans_repr	476112	pss_paper	isabelle/pss_paper.thy	1403
95	pss_paper.p_7_4_Trans_Mark_seg	476118	pss_paper	isabelle/pss_paper.thy	1416
96	pss_paper.p_7_4_RightNodes_Mark	476128	pss_paper	isabelle/pss_paper.thy	1432
97	pss_paper.p_7_4_RightAnces_RightNodes	476508	pss_paper	isabelle/pss_paper.thy	1464
98	pss_paper.p_7_4_RightAnces_zeroT	476514	pss_paper	isabelle/pss_paper.thy	1471
99	pss_paper.p_8_2_standard_slice_Red_strongmono	476524	pss_paper	isabelle/pss_paper.thy	1499
100	pss_paper.p_8_2_strongmono_slice	476532	pss_paper	isabelle/pss_paper.thy	1509
101	pss_paper.p_8_2_subexpr_component_Pred	476540	pss_paper	isabelle/pss_paper.thy	1523
102	pss_paper.p_8_2_subexpr_component_strongmono	476548	pss_paper	isabelle/pss_paper.thy	1563
103	pss_paper.p_8_2_condV_rightmost_parent	476556	pss_paper	isabelle/pss_paper.thy	1588
104	pss_paper.p_8_2_condV_terminal_slice_Trans	476564	pss_paper	isabelle/pss_paper.thy	1607
105	pss_paper.p_8_2_condIIIV_terminal_slice_Trans	476572	pss_paper	isabelle/pss_paper.thy	1627
106	pss_paper.p_8_1_diagSeq_Trans	476580	pss_paper	isabelle/pss_paper.thy	1658
107	pss_paper.p_8_1_Pred_diagSeq_Trans	476588	pss_paper	isabelle/pss_paper.thy	1670
108	pss_paper.p_8_1_condI_III_c1_around	476596	pss_paper	isabelle/pss_paper.thy	1710
109	pss_paper.p_8_1_Trans_fseq_condI	476604	pss_paper	isabelle/pss_paper.thy	1769
110	pss_paper.p_8_3_kind0_base_ineq	476614	pss_paper	isabelle/pss_paper.thy	1795
111	pss_paper.p_8_3_kind0_branch_rule	476622	pss_paper	isabelle/pss_paper.thy	1813
112	pss_paper.p_8_3_kind0_base_basepoint	476630	pss_paper	isabelle/pss_paper.thy	1832
113	pss_paper.p_8_3_TransCondII_oper_descend	476640	pss_paper	isabelle/pss_paper.thy	1863
114	pss_paper.p_8_4_Trans_oper_exchange	476648	pss_paper	isabelle/pss_paper.thy	1909
115	pss_paper.p_8_4_rightmost_nonadm_ancestor	476660	pss_paper	isabelle/pss_paper.thy	1931
116	pss_paper.p_8_4_oper_basic	476674	pss_paper	isabelle/pss_paper.thy	2017
117	pss_paper.p_8_5_Trans_oper_exchange	476686	pss_paper	isabelle/pss_paper.thy	2070
118	pss_paper.p_8_5_Joints_FirstNodes_basic	476698	pss_paper	isabelle/pss_paper.thy	2098
119	pss_paper.p_8_6_const2nd_Trans	476712	pss_paper	isabelle/pss_paper.thy	2162
120	pss_paper.p_8_6_diagSeq_Trans_oper	476720	pss_paper	isabelle/pss_paper.thy	2176
121	pss_paper.p_8_6_trailing_principal_annihilable	476728	pss_paper	isabelle/pss_paper.thy	2191
122	pss_paper.p_8_6_Trans_fseq_condVI	476736	pss_paper	isabelle/pss_paper.thy	2218
123	pss_paper.p_8_7_const00_Trans	476744	pss_paper	isabelle/pss_paper.thy	2243
124	pss_paper.p_8_7_fseq_descend	476752	pss_paper	isabelle/pss_paper.thy	2253
125	pss_paper.p_8_7_OT_scb_recursive	476760	pss_paper	isabelle/pss_paper.thy	2263
126	pss_paper.p_8_7_OT_dom_hereditary	476768	pss_paper	isabelle/pss_paper.thy	2273
127	pss_paper.p_8_7_OT_tail_annihilable	476776	pss_paper	isabelle/pss_paper.thy	2284
128	pss_paper.p_8_7_Pred_oper0	476784	pss_paper	isabelle/pss_paper.thy	2298
129	pss_paper.p_8_7_OT_examples	476792	pss_paper	isabelle/pss_paper.thy	2307
130	pss_paper.p_8_7_Trans_preserves_OT	476806	pss_paper	isabelle/pss_paper.thy	2317
131	pss_paper.p_8_7_termination	476814	pss_paper	isabelle/pss_paper.thy	2329
132	pss_mechanized.Pred_preserves_T_PS	476820	pss_mechanized	isabelle/pss_mechanized.thy	19
133	pss_mechanized.Lng_Pred_lt	476828	pss_mechanized	isabelle/pss_mechanized.thy	31
134	pss_mechanized.le0_refl	476850	pss_mechanized	isabelle/pss_mechanized.thy	38
135	pss_mechanized.leR_refl	476884	pss_mechanized	isabelle/pss_mechanized.thy	43
136	pss_mechanized.nextrel0_rtrancl_mono	476900	pss_mechanized	isabelle/pss_mechanized.thy	53
137	pss_mechanized.m_5_1_parent_exists_1	476928	pss_mechanized	isabelle/pss_mechanized.thy	60
138	pss_mechanized.m_5_1_parent_basic_1	476936	pss_mechanized	isabelle/pss_mechanized.thy	89
139	pss_mechanized.m_5_1_parent_basic_2	476962	pss_mechanized	isabelle/pss_mechanized.thy	102
140	pss_mechanized.le0_ances_aux	476986	pss_mechanized	isabelle/pss_mechanized.thy	118
141	pss_mechanized.m_5_1_ancestor_basic_1	477034	pss_mechanized	isabelle/pss_mechanized.thy	166
142	pss_mechanized.m_5_1_parent_exists_2	477058	pss_mechanized	isabelle/pss_mechanized.thy	176
143	pss_mechanized.le0_build	477112	pss_mechanized	isabelle/pss_mechanized.thy	214
144	pss_mechanized.m_5_1_parent_exists_3	477138	pss_mechanized	isabelle/pss_mechanized.thy	247
145	pss_mechanized.m_5_1_ancestor_tree_1	477158	pss_mechanized	isabelle/pss_mechanized.thy	259
146	pss_mechanized.nextrel1_rtrancl_mono	477174	pss_mechanized	isabelle/pss_mechanized.thy	282
147	pss_mechanized.le1_ances_aux	477250	pss_mechanized	isabelle/pss_mechanized.thy	289
148	pss_mechanized.m_5_1_ancestor_basic_2	477352	pss_mechanized	isabelle/pss_mechanized.thy	336
149	pss_mechanized.le0_trans	477422	pss_mechanized	isabelle/pss_mechanized.thy	347
150	pss_mechanized.nextrel1_imp_nextrel0_rtrancl	477490	pss_mechanized	isabelle/pss_mechanized.thy	352
151	pss_mechanized.m_le1_imp_le0	477540	pss_mechanized	isabelle/pss_mechanized.thy	365
152	pss_mechanized.le1_build	477620	pss_mechanized	isabelle/pss_mechanized.thy	372
153	pss_mechanized.m_5_1_parent_exists_4	477662	pss_mechanized	isabelle/pss_mechanized.thy	420
