pss_wip.wfc_level_jump_of_jump_steps	isabelle/layerB/pss_wip.thy	117634
pss_wip.wfc_maxe_mem	isabelle/layerB/pss_wip.thy	117464
pss_wip.wfc_member_leBT	isabelle/layerB/pss_wip.thy	117367
pss_wip.wfc_pbody_iff_collapse_core	isabelle/layerB/pss_wip.thy	117313
pss_wip.wfc_pbody_iff_level_jump	isabelle/layerB/pss_wip.thy	117316
pss_wip.wfc_pbody_iff_wf	isabelle/layerB/pss_wip.thy	117310
pss_wip.wfc_pbody_of_wf	isabelle/layerB/pss_wip.thy	117302
pss_wip.wfc_sec_component	isabelle/layerB/pss_wip.thy	117147
pss_wip.wfc_tail_lessBT	isabelle/layerB/pss_wip.thy	117346
pss_wip.wfc_tuple_acc_iff	isabelle/layerB/pss_wip.thy	117436
pss_wip.wfc_wf_iff_jump_steps	isabelle/layerB/pss_wip.thy	117655
pss_wip.wfc_wf_of_jump_steps	isabelle/layerB/pss_wip.thy	117608
pss_wip.wfc_wf_of_pbody	isabelle/layerB/pss_wip.thy	117294
pss_wip.wfj_G_df_T	isabelle/layerB/pss_wip.thy	113426
pss_wip.wfj_G_szT	isabelle/layerB/pss_wip.thy	113358
pss_wip.wfj_OT_B_wf_of_collapse_core	isabelle/layerB/pss_wip.thy	113550
pss_wip.wfj_acc_of_collapse_core	isabelle/layerB/pss_wip.thy	113475
pss_wip.wfj_all_levels_of_collapse_core	isabelle/layerB/pss_wip.thy	113546
pss_wip.wfj_all_levels_of_wf	isabelle/layerB/pss_wip.thy	113328
pss_wip.wfj_cexq_OT	isabelle/layerB/pss_wip.thy	113206
pss_wip.wfj_cexq_dfree	isabelle/layerB/pss_wip.thy	113209
pss_wip.wfj_cexq_hd	isabelle/layerB/pss_wip.thy	113215
pss_wip.wfj_cexq_lv	isabelle/layerB/pss_wip.thy	113212
pss_wip.wfj_collapse_core_iff_level_jump	isabelle/layerB/pss_wip.thy	113542
pss_wip.wfj_collapse_core_iff_wf	isabelle/layerB/pss_wip.thy	113539
pss_wip.wfj_collapse_core_of_wf	isabelle/layerB/pss_wip.thy	113532
pss_wip.wfj_enat_0max	isabelle/layerB/pss_wip.thy	113197
pss_wip.wfj_enat_max0	isabelle/layerB/pss_wip.thy	113194
pss_wip.wfj_frag0_lv_unbounded	isabelle/layerB/pss_wip.thy	113280
pss_wip.wfj_frag_downclosed	isabelle/layerB/pss_wip.thy	113244
pss_wip.wfj_frag_mono	isabelle/layerB/pss_wip.thy	113255
pss_wip.wfj_hd_le	isabelle/layerB/pss_wip.thy	113173
pss_wip.wfj_hd_le_lvP	isabelle/layerB/pss_wip.thy	113189
pss_wip.wfj_level_jump_of_all_levels	isabelle/layerB/pss_wip.thy	113342
pss_wip.wfj_level_jump_of_wf	isabelle/layerB/pss_wip.thy	113335
pss_wip.wfj_lv_in_frag	isabelle/layerB/pss_wip.thy	113265
pss_wip.wfj_secT_tuple_acc	isabelle/layerB/pss_wip.thy	113807
pss_wip.wfj_strat_hd	isabelle/layerB/pss_wip.thy	113184
pss_wip.wfj_stratn_lvP_false	isabelle/layerB/pss_wip.thy	113234
pss_wip.wfj_stratn_lvP_refuted	isabelle/layerB/pss_wip.thy	113218
pss_wip.wfj_wf_RPrel_of_all_levels	isabelle/layerB/pss_wip.thy	113294
pss_wip.wfj_wf_RPrel_of_collapse_core	isabelle/layerB/pss_wip.thy	113509
pss_wip.wfj_wf_iff_all_levels	isabelle/layerB/pss_wip.thy	113332
pss_wip.wfpd_NoBad_dep	isabelle/layerB/pss_wip.thy	78190
pss_wip.wfpd_RPrel_dep_0	isabelle/layerB/pss_wip.thy	78111
pss_wip.wfpd_RPrel_dep_lex	isabelle/layerB/pss_wip.thy	78133
pss_wip.wfpd_bounded_Rchain_impossible	isabelle/layerB/pss_wip.thy	78447
pss_wip.wfpd_bounded_Tchain_impossible	isabelle/layerB/pss_wip.thy	78499
pss_wip.wfpd_infinite_Rchain_unbounded_depth	isabelle/layerB/pss_wip.thy	78458
pss_wip.wfpd_tuple_lift_dep	isabelle/layerB/pss_wip.thy	78353
pss_wip.wfpd_wf_RPrel_dep	isabelle/layerB/pss_wip.thy	78430
pss_wip.wfpd_wf_RPrel_dep_0	isabelle/layerB/pss_wip.thy	78119
pss_wip.wfpd_wf_RPrel_iff_no_unbounded_depth	isabelle/layerB/pss_wip.thy	78471
pss_wip.wfpd_wf_RTrel_dep	isabelle/layerB/pss_wip.thy	78433
pss_wip.wfpd_wf_RTrel_iff_no_unbounded_depth	isabelle/layerB/pss_wip.thy	78510
pss_wip.wfpd_wf_dep	isabelle/layerB/pss_wip.thy	78416
pss_wip.wfpd_wf_goal_dep	isabelle/layerB/pss_wip.thy	78440
pss_wip.wfpx_RPrel_acyclic	isabelle/layerB/pss_wip.thy	67892
